800000001,73803
800000002,94501
800000003,120218
800000004,98954
800000005,99579
800000006,101588
800000007,57646
800000008,70051
800000009,106155
800000010,117964
800000011,15140
800000012,52418
800000013,37194
800000014,108159
800000015,3149
800000016,68881
800000017,2773
800000018,22044
800000019,10137
800000020,66562
800000021,102660
800000022,5547
800000023,98644
800000024,52328
800000025,44799
800000026,55925
800000027,50359
800000028,38744
800000029,21273
800000030,21141
800000031,5107
800000032,76553
800000033,99477
800000034,61229
800000035,68224
800000036,122436
800000037,76687
800000038,64069
800000039,93026
800000040,4091
800000041,7885
800000042,85489
800000043,42179
800000044,32843
800000045,45667
800000046,68420
800000047,27372
800000048,1377
800000049,102498
800000050,43627
800000051,79481
800000052,75647
800000053,77363
800000054,119989
800000055,99866
800000056,16637
800000057,13463
800000058,52430
800000059,39284
800000060,50418
800000061,54033
800000062,121643
800000063,62274
800000064,47597
800000065,50645
800000066,790
800000067,5435
800000068,871
800000069,50552
800000070,5773
800000071,60175
800000072,31722
800000073,25975
800000074,52787
800000075,51520
800000076,123458
800000077,74397
800000078,112389
800000079,84574
800000080,33650
800000081,110037
800000082,28024
800000083,27519
800000084,97997
800000085,115356
800000086,73441
800000087,76031
800000088,58611
800000089,123359
800000090,2878
800000091,109379
800000092,122574
800000093,14320
800000094,106346
800000095,2200
800000096,83674
800000097,57574
800000098,34842
800000099,6542
800000100,68596
800000101,29882
800000102,110456
800000103,45463
800000104,29801
800000105,15606
800000106,66458
800000107,116060
800000108,90617
800000109,98128
800000110,111021
800000111,21322
800000112,77463
800000113,88000
800000114,40638
800000115,106244
800000116,34077
800000117,36056
800000118,93415
800000119,16610
800000120,78650
800000121,78082
800000122,23904
800000123,101061
800000124,18712
800000125,31281
800000126,10318
800000127,77210
800000128,120137
800000129,70614
800000130,79790
800000131,67588
800000132,76405
800000133,43142
800000134,76350
800000135,76817
800000136,48809
800000137,65561
800000138,54184
800000139,94735
800000140,123778
800000141,32942
800000142,30651
800000143,115036
800000144,51993
800000145,42694
800000146,70050
800000147,77986
800000148,62473
800000149,59593
800000150,28590
800000151,77717
800000152,8480
800000153,59682
800000154,102932
800000155,24665
800000156,25403
800000157,91365
800000158,86974
800000159,103971
800000160,82937
800000161,118245
800000162,70619
800000163,102890
800000164,117044
800000165,3369
800000166,102110
800000167,77122
800000168,33779
800000169,74898
800000170,20035
800000171,96800
800000172,57595
800000173,17069
800000174,30294
800000175,49090
800000176,114940
800000177,32117
800000178,16056
800000179,577
800000180,83239
800000181,91916
800000182,58375
800000183,35525
800000184,67759
800000185,114031
800000186,41607
800000187,91841
800000188,112139
800000189,123524
800000190,15287
800000191,73026
800000192,102002
800000193,112554
800000194,53469
800000195,87298
800000196,76475
800000197,8856
800000198,72149
800000199,97058
800000200,124303
800000201,8192
800000202,57958
800000203,68410
800000204,61627
800000205,51525
800000206,73573
800000207,110028
800000208,105750
800000209,23237
800000210,32450
800000211,31694
800000212,79669
800000213,33609
800000214,123179
800000215,91420
800000216,73851
800000217,39258
800000218,63858
800000219,48036
800000220,95888
800000221,114571
800000222,39531
800000223,58179
800000224,124968
800000225,29333
800000226,25453
800000227,6314
800000228,31212
800000229,68006
800000230,123772
800000231,20075
800000232,11428
800000233,58104
800000234,82048
800000235,38320
800000236,4875
800000237,100444
800000238,85219
800000239,37958
800000240,30741
800000241,51744
800000242,70821
800000243,67412
800000244,104009
800000245,58648
800000246,16526
800000247,11227
800000248,45406
800000249,2108
800000250,40987
800000251,57478
800000252,111426
800000253,97220
800000254,59995
800000255,27493
800000256,19312
800000257,68164
800000258,73665
800000259,24505
800000260,67182
800000261,11569
800000262,75943
800000263,115710
800000264,7083
800000265,79668
800000266,17191
800000267,48387
800000268,80263
800000269,94661
800000270,91957
800000271,65660
800000272,104523
800000273,70039
800000274,55033
800000275,34179
800000276,115976
800000277,83298
800000278,31083
800000279,87983
800000280,76640
800000281,120381
800000282,15785
800000283,41809
800000284,123704
800000285,106500
800000286,17304
800000287,63382
800000288,98702
800000289,52851
800000290,121781
800000291,12039
800000292,82372
800000293,116014
800000294,31361
800000295,44331
800000296,36705
800000297,71512
800000298,78018
800000299,99571
800000300,124313
800000301,48674
800000302,12520
800000303,92846
800000304,1775
800000305,119636
800000306,52644
800000307,78220
800000308,57668
800000309,36130
800000310,101371
800000311,58270
800000312,29860
800000313,30651
800000314,43985
800000315,66900
800000316,71896
800000317,64949
800000318,2155
800000319,93520
800000320,105937
800000321,68485
800000322,35364
800000323,53801
800000324,106978
800000325,92521
800000326,38263
800000327,43413
800000328,116328
800000329,17117
800000330,50856
800000331,95807
800000332,120376
800000333,116532
800000334,77982
800000335,31430
800000336,42257
800000337,61444
800000338,42212
800000339,16218
800000340,115632
800000341,119944
800000342,116083
800000343,22000
800000344,50406
800000345,45209
800000346,25450
800000347,2961
800000348,46652
800000349,2274
800000350,20546
800000351,46453
800000352,98602
800000353,108872
800000354,33066
800000355,107054
800000356,65483
800000357,89140
800000358,37580
800000359,102999
800000360,91508
800000361,79310
800000362,49794
800000363,45068
800000364,37028
800000365,79151
800000366,122190
800000367,120141
800000368,30628
800000369,64725
800000370,29976
800000371,112828
800000372,91146
800000373,98225
800000374,73126
800000375,7636
800000376,33093
800000377,73549
800000378,85214
800000379,39188
800000380,120089
800000381,8917
800000382,106053
800000383,87194
800000384,67593
800000385,113055
800000386,55018
800000387,67012
800000388,43571
800000389,115955
800000390,90825
800000391,86700
800000392,51115
800000393,4601
800000394,66306
800000395,45372
800000396,93671
800000397,66141
800000398,74327
800000399,90742
800000400,94301
800000401,40229
800000402,67917
800000403,38477
800000404,54709
800000405,72411
800000406,61872
800000407,19472
800000408,42548
800000409,74426
800000410,13666
800000411,68
800000412,55279
800000413,63813
800000414,2082
800000415,43486
800000416,47297
800000417,15580
800000418,99075
800000419,50780
800000420,26715
800000421,117099
800000422,102021
800000423,103062
800000424,68031
800000425,80505
800000426,36109
800000427,59302
800000428,17592
800000429,75449
800000430,68536
800000431,45511
800000432,8238
800000433,114414
800000434,119624
800000435,6874
800000436,112649
800000437,9188
800000438,93661
800000439,25035
800000440,25750
800000441,17191
800000442,104370
800000443,93424
800000444,57599
800000445,78919
800000446,46965
800000447,53977
800000448,102390
800000449,77872
800000450,4484
800000451,56789
800000452,103226
800000453,73422
800000454,107408
800000455,93919
800000456,99044
800000457,84488
800000458,38808
800000459,70737
800000460,19852
800000461,36250
800000462,118675
800000463,30422
800000464,7681
800000465,2817
800000466,99124
800000467,69171
800000468,8759
800000469,103534
800000470,36821
800000471,15892
800000472,97458
800000473,83288
800000474,100025
800000475,81984
800000476,49077
800000477,66531
800000478,98201
800000479,19748
800000480,54383
800000481,68872
800000482,106308
800000483,77098
800000484,45499
800000485,44311
800000486,4711
800000487,68073
800000488,60985
800000489,53924
800000490,70745
800000491,58990
800000492,115175
800000493,2208
800000494,96325
800000495,102798
800000496,108622
800000497,98649
800000498,103615
800000499,67526
800000500,855
800000501,124032
800000502,65132
800000503,68771
800000504,79963
800000505,21190
800000506,104202
800000507,61460
800000508,102231
800000509,31181
800000510,85632
800000511,99987
800000512,59626
800000513,44841
800000514,61254
800000515,91208
800000516,64917
800000517,72153
800000518,78336
800000519,39459
800000520,93424
800000521,3273
800000522,90958
800000523,62170
800000524,89439
800000525,120803
800000526,81773
800000527,12069
800000528,50337
800000529,91759
800000530,104705
800000531,4547
800000532,93938
800000533,23941
800000534,59799
800000535,22216
800000536,16788
800000537,74191
800000538,113990
800000539,42075
800000540,35153
800000541,97121
800000542,24222
800000543,29950
800000544,23927
800000545,5389
800000546,98674
800000547,19339
800000548,35564
800000549,66824
800000550,35890
800000551,116436
800000552,40661
800000553,52525
800000554,116475
800000555,79385
800000556,17890
800000557,107556
800000558,51465
800000559,119286
800000560,17567
800000561,3058
800000562,105169
800000563,33876
800000564,3253
800000565,103081
800000566,75400
800000567,73149
800000568,56899
800000569,71010
800000570,8090
800000571,2961
800000572,99131
800000573,36934
800000574,107272
800000575,8982
800000576,33591
800000577,428
800000578,66995
800000579,65831
800000580,597
800000581,64223
800000582,2563
800000583,34431
800000584,11277
800000585,95687
800000586,103252
800000587,28057
800000588,75360
800000589,67486
800000590,77299
800000591,62362
800000592,78408
800000593,27211
800000594,47109
800000595,55310
800000596,67494
800000597,12820
800000598,22778
800000599,110927
800000600,12308
800000601,11334
800000602,45325
800000603,89120
800000604,101792
800000605,73
800000606,21267
800000607,67393
800000608,61312
800000609,80709
800000610,64911
800000611,105214
800000612,114059
